AccidentUID,AccidentType,AccidentType_en,AccidentSeverityCategory,AccidentSeverityCategory_en,AccidentInvolvingPedestrian,AccidentInvolvingBicycle,AccidentInvolvingMotorcycle,RoadType,AccidentYear,AccidentMonth,AccidentMonth_en,AccidentWeekDay,AccidentWeekDay_en,AccidentHour,AccidentHour_text,Longitude,Latitude
A2459425CD39206EE0430A865E33206E,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,4,April,aw406,Saturday,16.0,16h-17h,9.367469083176731,47.40941872062746
A23102BBB48C108CE0430A865E33108C,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt433,2011,5,May,aw407,Sunday,17.0,17h-18h,9.410339030326945,47.43649562134336
A2349D026A98307CE0430A865E33307C,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,False,rt432,2011,5,May,aw402,Tuesday,18.0,18h-19h,9.385047591278754,47.43166110325784
A543482339183054E0430A865E333054,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt439,2011,5,May,aw404,Thursday,10.0,10h-11h,9.399843593818897,47.43631429357701
AA2648D1D2870072E0430A8394270072,at2,Accident with rear-end collision,as2,Accident with severe injuries,False,False,False,rt430,2011,5,May,aw404,Thursday,17.0,17h-18h,9.337933012916302,47.42108202169698
A376404D14676030E0430A865E336030,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,2011,5,May,aw405,Friday,13.0,13h-14h,9.35133985724434,47.41790095268087
A246EA888596B0D0E0430A865E33B0D0,at7,Accident when parking,as3,Accident with light injuries,False,True,False,rt433,2011,5,May,aw401,Monday,9.0,09h-10h,9.353082565343431,47.41328372181607
A2349D02B1AE307CE0430A865E33307C,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,5,May,aw401,Monday,19.0,19h-20h,9.304343010114609,47.402943086235545
A246EA88468CB0D0E0430A865E33B0D0,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,2011,5,May,aw402,Tuesday,8.0,08h-09h,9.347806017658563,47.41361394171728
A544F2BFFAE760EAE0430A865E3360EA,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,2011,5,May,aw402,Tuesday,20.0,20h-21h,9.352127559200177,47.414739030776346
A2349D031D05307CE0430A865E33307C,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,2011,5,May,aw405,Friday,8.0,08h-09h,9.33811403057512,47.41315289979765
A2459426440B206EE0430A865E33206E,at4,Accident when turning-into main road,as2,Accident with severe injuries,False,False,False,rt432,2011,5,May,aw405,Friday,16.0,16h-17h,9.330798550929954,47.40907144370839
A23127EFBC5DB0D0E0430A865E33B0D0,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,5,May,aw405,Friday,22.0,22h-23h,9.402301724595688,47.43501299716508
AA2648D1D0100072E0430A8394270072,at1,Accident when overtaking or changing lanes,as2,Accident with severe injuries,False,False,False,rt430,2011,5,May,aw407,Sunday,3.0,03h-04h,9.348825754672804,47.424303262767545
A5434823324E3054E0430A865E333054,at1,Accident when overtaking or changing lanes,as3,Accident with light injuries,False,False,False,rt433,2011,5,May,aw401,Monday,11.0,11h-12h,9.303405246757748,47.40870711784618
A24D2566A905E0C4E0430A865E33E0C4,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt433,2011,5,May,aw404,Thursday,9.0,09h-10h,9.361897701455895,47.41625023199963
A542ED51CE7A80CAE0430A865E3380CA,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,True,False,rt433,2011,5,May,aw405,Friday,7.0,07h-08h,9.36890915528742,47.42099161271924
A5430C60F768D05CE0430A865E33D05C,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,True,False,rt433,2011,5,May,aw405,Friday,9.0,09h-10h,9.36892109914412,47.420955425870076
A544F2BFFFA360EAE0430A865E3360EA,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,2011,5,May,aw401,Monday,16.0,16h-17h,9.372105163288717,47.42175689637597
A543482337E13054E0430A865E333054,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,2011,5,May,aw403,Wednesday,7.0,07h-08h,9.371808336605701,47.42124904220068
A542ED51DD4C80CAE0430A865E3380CA,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt432,2011,5,May,aw403,Wednesday,8.0,08h-09h,9.376296654935064,47.42838034468859
A544F2C03CEE60EAE0430A865E3360EA,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,5,May,aw403,Wednesday,15.0,15h-16h,9.398073911484996,47.432547622593624
A543482343043054E0430A865E333054,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt439,2011,5,May,aw406,Saturday,11.0,11h-12h,9.412457909493522,47.43749410433009
A543482342573054E0430A865E333054,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt433,2011,5,May,aw407,Sunday,0.0,00h-01h,9.368810637204538,47.42010257145168
A85E5BFEDCE00108E0430A8394270108,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt439,2011,6,June,aw403,Wednesday,15.0,15h-16h,9.373158964346855,47.42193719097089
A5430C6103CED05CE0430A865E33D05C,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,2011,6,June,aw403,Wednesday,19.0,19h-20h,9.390755359756644,47.433283244598414
A5D2A7739068B0A8E0430A865E33B0A8,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt432,2011,6,June,aw402,Tuesday,19.0,19h-20h,9.334822694676017,47.41154255867258
A73968E86A2201E6E0430A83942701E6,at7,Accident when parking,as2,Accident with severe injuries,False,True,False,rt433,2011,6,June,aw405,Friday,19.0,19h-20h,9.349993318930483,47.41214728761652
AB65DF2B141B009AE0430A839427009A,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,6,June,aw402,Tuesday,7.0,07h-08h,9.378272695286341,47.431307158132256
A5D2C32A3579A0A2E0430A865E33A0A2,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,True,False,rt433,2011,6,June,aw402,Tuesday,11.0,11h-12h,9.368988317699172,47.420981293558434
A774AC335E2B01AAE0430A83942701AA,at8,Accident involving pedestrian(s),as2,Accident with severe injuries,True,False,False,rt432,2011,6,June,aw406,Saturday,13.0,13h-14h,9.406306639871069,47.43753599747431
A752793F1FC501C6E0430A83942701C6,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,6,June,aw402,Tuesday,17.0,17h-18h,9.402059881414585,47.43492713652072
A5D45D8EA56650FEE0430A865E3350FE,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,6,June,aw403,Wednesday,17.0,17h-18h,9.305384837109644,47.40468961116151
A7642718FC4500FAE0430A83942700FA,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,6,June,aw404,Thursday,15.0,15h-16h,9.293677171592662,47.40755020691231
A868861B1C9101D4E0430A83942701D4,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt432,2011,6,June,aw405,Friday,7.0,07h-08h,9.393209404691897,47.43078562643697
A5D45D8ECA0550FEE0430A865E3350FE,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt433,2011,6,June,aw407,Sunday,13.0,13h-14h,9.376558822436133,47.42647761618061
B7169A8922A60080E0430A8394270080,at1,Accident when overtaking or changing lanes,as3,Accident with light injuries,False,False,False,rt433,2011,6,June,aw407,Sunday,17.0,17h-18h,9.38267572991303,47.43061240270123
A6EE1F1E46C50036E0430A8394270036,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,False,False,rt432,2011,6,June,aw401,Monday,14.0,14h-15h,9.356927698335413,47.42141604433018
A777CC4369DC0012E0430A8394270012,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt432,2011,6,June,aw403,Wednesday,20.0,20h-21h,9.330811796201614,47.409071226786075
A75305E96EF10046E0430A8394270046,at1,Accident when overtaking or changing lanes,as2,Accident with severe injuries,False,False,True,rt432,2011,6,June,aw404,Thursday,16.0,16h-17h,9.426795936245556,47.44255658412463
A774A9B8445800CAE0430A83942700CA,at9,Accident involving animal(s),as3,Accident with light injuries,False,False,True,rt433,2011,6,June,aw404,Thursday,23.0,23h-00h,9.381880929566854,47.416833575504
A774AC332E3501AAE0430A83942701AA,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,True,rt433,2011,7,July,aw405,Friday,18.0,18h-19h,9.379244807278296,47.41942399280984
A7533B250C2B00EEE0430A83942700EE,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,7,July,aw406,Saturday,11.0,11h-12h,9.392155030507606,47.43059652395837
A777621F63540016E0430A8394270016,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,2011,7,July,aw402,Tuesday,20.0,20h-21h,9.410709615783931,47.44363283676692
A76B08477E29015EE0430A839427015E,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,7,July,aw403,Wednesday,17.0,17h-18h,9.382591234961373,47.42648426870963
A86978B8155400A2E0430A83942700A2,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,False,False,rt433,2011,7,July,aw405,Friday,2.0,02h-03h,9.35367307455684,47.41127664250706
A777621F857A0016E0430A8394270016,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,7,July,aw405,Friday,10.0,10h-11h,9.336298007491292,47.41203115332341
A85E5BFECA8B0108E0430A8394270108,at8,Accident involving pedestrian(s),as3,Accident with light injuries,False,False,False,rt433,2011,7,July,aw405,Friday,12.0,12h-13h,9.370080007927957,47.42147587226322
A891B01C2A79015AE0430A839427015A,at3,Accident when turning left or right,as3,Accident with light injuries,False,True,False,rt432,2011,7,July,aw402,Tuesday,14.0,14h-15h,9.326761020203186,47.407707012793985
A9FDEBFA423300C2E0430A83942700C2,at3,Accident when turning left or right,as3,Accident with light injuries,False,False,True,rt432,2011,7,July,aw404,Thursday,16.0,16h-17h,9.410447793395987,47.44014650856372
AB28DA7E3A1E009AE0430A839427009A,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,2011,8,August,aw403,Wednesday,17.0,17h-18h,9.389990374822785,47.435563369456844
AAC3D094BDEE00AEE0430A83942700AE,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt432,2011,8,August,aw404,Thursday,16.0,16h-17h,9.300230270250614,47.4077326967829
AB28DA7E8F3F009AE0430A839427009A,at1,Accident when overtaking or changing lanes,as3,Accident with light injuries,False,False,False,rt433,2011,8,August,aw406,Saturday,14.0,14h-15h,9.374237243270612,47.42570680609657
AB28DA7E0320009AE0430A839427009A,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,2011,8,August,aw404,Thursday,7.0,07h-08h,9.393966263092176,47.44128116011782
ACE60B8E4572005EE0430A839427005E,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt430,2011,8,August,aw406,Saturday,13.0,13h-14h,9.34566423946368,47.423014957342694
AB28DA7E60D6009AE0430A839427009A,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,True,rt433,2011,8,August,aw403,Wednesday,12.0,12h-13h,9.308874080870739,47.40480411506738
AB2717D67B0300C4E0430A83942700C4,at4,Accident when turning-into main road,as3,Accident with light injuries,False,True,False,rt432,2011,8,August,aw404,Thursday,12.0,12h-13h,9.331226911763066,47.409937113656426
AC6A5BFC967600A0E0430A83942700A0,at1,Accident when overtaking or changing lanes,as3,Accident with light injuries,False,False,False,rt430,2011,8,August,aw404,Thursday,14.0,14h-15h,9.359663950993038,47.427812299226304
B276244061180044E0430A8394270044,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt430,2011,8,August,aw404,Thursday,18.0,18h-19h,9.361731191738537,47.424116222205775
AB28DA7E93AD009AE0430A839427009A,at0,Accident with skidding or self-accident,as3,Accident with light injuries,False,False,False,rt432,2011,8,August,aw405,Friday,13.0,13h-14h,9.345421439434414,47.41290658409195
AAC434B1E04E00E0E0430A83942700E0,at4,Accident when turning-into main road,as3,Accident with light injuries,False,False,False,rt433,2011,8,August,aw407,Sunday,19.0,19h-20h,9.302965721342147,47.40713079327591
B14A2263E1650000E0430A8394270000,at5,Accident when crossing the lane(s),as3,Accident with light injuries,False,False,True,rt432,2011,8,August,aw401,Monday,14.0,14h-15h,9.345014307998655,47.4159722100943
AB28DA7E9302009AE0430A839427009A,at8,Accident involving pedestrian(s),as3,Accident with light injuries,True,True,False,rt433,2011,8,August,aw403,Wednesday,7.0,07h-08h,9.354474733006088,47.413665503398555
AAC3BF55F3610162E0430A8394270162,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,8,August,aw403,Wednesday,16.0,16h-17h,9.414737351318221,47.44352807275008
AB2717D6CF8900C4E0430A83942700C4,at0,Accident with skidding or self-accident,as2,Accident with severe injuries,False,True,False,rt433,2011,9,September,aw404,Thursday,14.0,14h-15h,9.34504806668634,47.41469410957798
B3ECEDCCC7BB0122E0430A8394270122,at2,Accident with rear-end collision,as3,Accident with light injuries,False,False,False,rt432,2011,9,September,aw405,Friday,19.0,19h-20h,9.30475512648285,47.40373713696752
